CUSIP,TICKER,SEDOL,ISIN,DESCRIPTION,CUR,ISO,SHARES,ORIGINAL_FACE,INTEREST,LOCAL_PRICE,LOCAL_MV,FOREX,BASE_PRICE,BASE_MV,WEIGHT,CIL,EST_DIVIDEND,LOT,NEW,SHARE_CHANGE,INT_FACTOR,PAR_ADJUSTMENT_FACTOR
'015351109,'ALXN,'2036070,US0153511094,ALEXION PHARMACEUTICALS INC,USD,US,2434,,0,134.88,328297.92,1,134.88,328297.92,5.04606312,N,0,1,Y,2434,0,1
'02043Q107,'ALNY,'B00FWN1,US02043Q1076,ALNYLAM PHARMACEUTICALS INC,USD,US,1831,,0,88.34,161750.54,1,88.34,161750.54,2.48616694,N,0,1,Y,1831,0,1
'031162100,'AMGN,'2023607,US0311621009,AMGEN INC,USD,US,2741,,0,187.76,514650.16,1,187.76,514650.16,7.91036749,N,0,1,Y,2741,0,1
'09061G101,'BMRN,'2437071,US09061G1013,BIOMARIN PHARMACEUTICAL INC,USD,US,3013,,0,94.5,284728.5,1,94.5,284728.5,4.37638467,N,0,1,Y,3013,0,1
'09062X103,'BIIB,'2455965,US09062X1037,BIOGEN INC,USD,US,981,,0,321.52,315411.12,1,321.52,315411.12,4.84798814,N,0,1,Y,981,0,1
'09609G100,'BLUE,'BBFL7S1,US09609G1004,BLUEBIRD BIO INC,USD,US,789,,0,151.57,119588.73,1,151.57,119588.73,1.83812398,N,0,1,Y,789,0,1
'151020104,'CELG,'2182348,US1510201049,CELGENE CORP,USD,US,4463,,0,88.29,394038.27,1,88.29,394038.27,6.05651715,N,0,1,Y,4463,0,1
'159864107,'CRL,'2604336,US1598641074,CHARLES RIVER LABORATORIES,USD,US,1585,,0,140.99,223469.15,1,140.99,223469.15,3.43480531,N,0,1,Y,1585,0,1
'30063P105,'EXAS,'2719951,US30063P1057,EXACT SCIENCES CORP,USD,US,3967,,0,96.15,381427.05,1,96.15,381427.05,5.86267794,N,0,1,Y,3967,0,1
'375558103,'GILD,'2369174,US3755581036,GILEAD SCIENCES INC,USD,US,6029,,0,64.79,390618.91,1,64.79,390618.91,6.0039603,N,0,1,Y,6029,0,1
'398438408,'GRFS,'B8K7T65,US3984384087,GRIFOLS SAADR,USD,US,9263,,0,19.17,177571.71,1,19.17,177571.71,2.7293443,N,0,1,Y,9263,0,1
'452327109,'ILMN,'2613990,US4523271090,ILLUMINA INC,USD,US,939,,0,309.2,290338.8,1,309.2,290338.8,4.4626171,N,0,1,Y,939,0,1
'45337C102,'INCY,'2471950,US45337C1027,INCYTE CORP,USD,US,4208,,0,84.31,354776.48,1,84.31,354776.48,5.4530486,N,0,1,Y,4208,0,1
'462222100,'IONS,'BDJ0LS6,US4622221004,IONIS PHARMACEUTICALS INC,USD,US,2097,,0,77.44,162391.68,1,77.44,162391.68,2.4960215,N,0,1,Y,2097,0,1
'46266C105,'IQV,'BDR73G1,US46266C1053,IQVIA HOLDINGS INC,USD,US,2328,,0,140.98,328201.44,1,140.98,328201.44,5.04458019,N,0,1,Y,2328,0,1
'640268108,'NKTR,'2454445,US6402681083,NEKTAR THERAPEUTICS,USD,US,3423,,0,36.32,124323.36,1,36.32,124323.36,1.91089704,N,0,1,Y,3423,0,1
'64125C109,'NBIX,'2623911,US64125C1099,NEUROCRINEBIOSCIENCES INC,USD,US,1905,,0,82.97,158057.85,1,82.97,158057.85,2.4294089,N,0,1,Y,1905,0,1
'75886F107,'REGN,'2730190,US75886F1075,REGENERONPHARMACEUTICALS,USD,US,837,,0,407.5,341077.5,1,407.5,341077.5,5.2424901,N,0,1,Y,837,0,1
'803607100,'SRPT,'B8DPDT7,US8036071004,SAREPTA THERAPEUTICS INC,USD,US,1962,,0,129.41,253902.42,1,129.41,253902.42,3.90257617,N,0,1,Y,1962,0,1
'812578102,'SGEN,'2738127,US8125781026,SEATTLE GENETICS INC,USD,US,1649,,0,73.6,121366.4,1,73.6,121366.4,1.86544744,N,0,1,Y,1649,0,1
'91307C102,'UTHR,'2430412,US91307C1027,UNITED THERAPEUTICS CORP,USD,US,1293,,0,117.03,151319.79,1,117.03,151319.79,2.32584237,N,0,1,Y,1293,0,1
'92532F100,'VRTX,'2931034,US92532F1003,VERTEX PHARMACEUTICALS INC,USD,US,1803,,0,186.11,335556.33,1,186.11,335556.33,5.15762763,N,0,1,Y,1803,0,1
'G0177J108,'AGN,'BY9D546,IE00BY9D5467,ALLERGAN PLC,USD,US,2078,,0,149.8,311284.4,1,149.8,311284.4,4.78455889,N,0,1,Y,2078,0,1
'N72482123,'QGEN,'BYXS688,NL0012169213,QIAGEN N.V.,USD,US,7084,,0,39.79,281872.36,1,39.79,281872.36,4.33248472,N,0,1,Y,7084,0,1
